FacultyID,FirstName,LastName,Email,Title,DepartmentID,OfficeLocation,PhoneNumber
207,Cheryl,Maxwell,huffmannichole@example.net,Associate Professor,2,"Building B, Room 217",(777)216-7014
208,Janet,Gregory,tiffanysantiago@example.com,Assistant Professor,2,"Building D, Room 153",489.916.3756x28900
209,Melissa,Booth,waltonmalik@example.com,Lecturer,5,"Building B, Room 321",908-338-6631x779
210,Melissa,West,hooperjulie@example.org,Assistant Professor,9,"Building A, Room 211",666-508-8019
211,Diamond,Bryant,michael03@example.com,Assistant Professor,7,"Building C, Room 328",789-397-5711x30554
212,Brandon,Martin,lydianewton@example.com,Professor,2,"Building C, Room 202",549-733-1637
213,Daniel,Perry,bartonshannon@example.net,Associate Professor,2,"Building B, Room 197",001-982-470-8086
214,Heather,Thompson,dalesandoval@example.net,Associate Professor,3,"Building C, Room 348",686-769-3465x47226
215,Jennifer,Walls,jamesweber@example.com,Associate Professor,1,"Building D, Room 129",+1-652-828-8515x87996
216,Lindsey,Mills,jamesbrian@example.org,Assistant Professor,10,"Building C, Room 180",242.744.2043
217,Lisa,Garcia,juliahoffman@example.org,Professor,4,"Building B, Room 283",540.766.6580x04397
218,Kari,Payne,kimberlybrandt@example.com,Professor,10,"Building A, Room 168",621.422.8160x648
219,Eugene,Singleton,riverajenna@example.org,Associate Professor,6,"Building A, Room 304",7253909479
220,Kristen,Stewart,susanmeyer@example.net,Associate Professor,3,"Building C, Room 348",(768)786-1533
221,Michael,Robinson,wbarajas@example.net,Assistant Professor,7,"Building D, Room 194",7158739930
222,Ruth,Landry,uscott@example.com,Assistant Professor,6,"Building D, Room 107",5857887704
223,Willie,Vaughan,teresaayala@example.net,Lecturer,8,"Building D, Room 283",3134361386
224,Andrew,Love,millerbrian@example.com,Professor,3,"Building D, Room 294",+1-819-734-6676
225,Andre,Nunez,maychristine@example.net,Assistant Professor,2,"Building A, Room 221",001-301-658-1449
226,Kathy,Kim,bshort@example.com,Assistant Professor,3,"Building A, Room 104",(783)226-8424
227,Angela,Peters,williamsashley@example.com,Associate Professor,10,"Building A, Room 121",+1-481-443-5368
228,Jack,Jensen,james29@example.org,Professor,6,"Building A, Room 232",001-487-581-4141x39755
229,Craig,Harvey,louishayes@example.net,Professor,10,"Building B, Room 133",+1-849-629-9556x20533
230,Mary,Taylor,natalie77@example.com,Professor,10,"Building A, Room 172",001-347-281-2914x28341
231,Melissa,Welch,nhammond@example.org,Associate Professor,9,"Building C, Room 220",+1-648-487-2563
232,Steven,Dixon,acox@example.net,Associate Professor,8,"Building B, Room 206",492.982.7229
233,Sheila,Williams,qhall@example.com,Assistant Professor,1,"Building B, Room 391",203.785.6770
234,Dakota,Schmitt,mary49@example.net,Professor,8,"Building A, Room 352",001-826-565-9184
235,Zachary,Gomez,tommy79@example.org,Lecturer,8,"Building B, Room 113",327.523.1843x22259
236,Robert,Rivera,olsontimothy@example.org,Associate Professor,7,"Building B, Room 315",001-426-403-0299
237,Crystal,Williams,brianscott@example.org,Associate Professor,10,"Building B, Room 286",869.490.4137x97723
238,Laura,Hoover,cindydixon@example.org,Lecturer,3,"Building C, Room 102",001-857-499-1366x2103
239,Catherine,Thompson,richamanda@example.org,Assistant Professor,7,"Building B, Room 338",772-298-0686
240,Heidi,Patterson,yclarke@example.com,Lecturer,2,"Building B, Room 393",001-691-862-4731
241,Jonathan,Smith,lanedavid@example.org,Assistant Professor,3,"Building C, Room 291",(735)665-1269x4486
242,Victoria,Sanders,robertbowers@example.com,Professor,7,"Building A, Room 127",(858)487-4495
243,Melissa,Hopkins,seanlyons@example.org,Associate Professor,7,"Building A, Room 372",838-265-8902
244,Linda,Morrow,bfrost@example.org,Assistant Professor,6,"Building B, Room 225",643-251-9066
245,Sonya,Wilkins,mgonzales@example.net,Lecturer,9,"Building A, Room 112",443.309.8839x20530
246,Wendy,Chan,elizabeth69@example.org,Lecturer,9,"Building D, Room 166",901.818.4895x54393
247,Bailey,Green,jhunter@example.org,Professor,2,"Building C, Room 327",745.918.4894x76973
248,Erin,Mosley,olsonjonathan@example.com,Assistant Professor,6,"Building B, Room 210",+1-833-756-5880x4341
249,Charles,Velazquez,nedwards@example.net,Lecturer,8,"Building A, Room 335",723-473-3343x333
250,Kimberly,Wilson,loweelizabeth@example.net,Assistant Professor,10,"Building A, Room 200",6809759579
251,Ian,Duran,raymond92@example.org,Associate Professor,4,"Building B, Room 325",267.280.8562x71875
252,Emily,Gray,nguyenchloe@example.com,Assistant Professor,8,"Building C, Room 328",(484)934-7955
253,Rodney,Barnes,michael64@example.com,Professor,1,"Building A, Room 249",(892)893-1438
254,James,Marsh,thomassmith@example.com,Professor,6,"Building B, Room 211",428.285.7448x9061
255,Jason,King,colematthew@example.com,Lecturer,8,"Building C, Room 236",(488)645-0615x939
256,Michael,Nunez,champton@example.org,Assistant Professor,3,"Building C, Room 130",(494)772-2569x9611
257,Jeremy,Stewart,jennifer96@example.com,Lecturer,5,"Building D, Room 322",359.587.6220x234
258,Garrett,Garcia,zunigathomas@example.org,Associate Professor,2,"Building D, Room 319",8686114921
259,Jerome,Rojas,isims@example.net,Assistant Professor,4,"Building C, Room 233",(900)455-7784
260,Tara,Wolfe,brittanybryant@example.net,Associate Professor,1,"Building B, Room 161",+1-796-888-4578x3174
261,Jordan,Torres,millskatherine@example.org,Professor,2,"Building C, Room 302",(547)280-7740x649
262,Amy,Lopez,kfoster@example.net,Lecturer,10,"Building C, Room 272",001-666-834-1638x9448
263,Jacob,Jones,keithwalsh@example.net,Lecturer,5,"Building B, Room 217",349.673.5020x802
264,Joseph,Espinoza,halledward@example.com,Lecturer,3,"Building D, Room 324",356.447.5705
265,Brian,Rowe,danielshunter@example.com,Lecturer,1,"Building D, Room 146",(901)836-7303x7183
266,Erin,Collins,eric08@example.net,Professor,10,"Building B, Room 137",547-843-5031
267,Mark,Jackson,brenda63@example.org,Professor,4,"Building A, Room 358",9973925132
268,Gina,Morgan,browndeanna@example.net,Professor,6,"Building B, Room 109",+1-512-273-5857
269,Hannah,Howard,johnwilliams@example.net,Professor,7,"Building B, Room 271",684.487.3928x557
270,Casey,Moore,lori85@example.com,Associate Professor,8,"Building B, Room 183",7863209593
271,Dominique,Ryan,rlee@example.com,Professor,5,"Building A, Room 372",001-482-294-5651x18102
272,James,Washington,johnsondarlene@example.com,Professor,8,"Building B, Room 193",+1-378-999-4053x91037
273,Laurie,Brown,yshort@example.net,Assistant Professor,1,"Building A, Room 335",3943801413
274,Jessica,Schmidt,jamessandoval@example.net,Associate Professor,5,"Building D, Room 236",+1-828-786-1957x6122
275,Diane,Ferguson,umahoney@example.net,Associate Professor,3,"Building C, Room 100",956-965-9398x36845
276,Susan,Smith,birdcaitlin@example.net,Lecturer,6,"Building D, Room 366",(440)343-3504
277,Benjamin,Kelly,josephpreston@example.org,Professor,5,"Building B, Room 385",744.919.6931
278,Gerald,Petersen,larsonkevin@example.net,Assistant Professor,5,"Building A, Room 104",001-561-205-5661
279,Cynthia,Chen,torresblake@example.net,Assistant Professor,10,"Building B, Room 231",001-325-583-2067
280,Ryan,Hartman,davidmiller@example.net,Professor,10,"Building A, Room 395",001-508-964-1686x2278
281,Randall,Duncan,johnadams@example.com,Lecturer,7,"Building D, Room 113",491-716-6553x55904
282,Christina,Branch,chanson@example.org,Lecturer,3,"Building A, Room 122",435.621.1039
283,Alexander,Benson,torresthomas@example.com,Assistant Professor,1,"Building A, Room 244",483.238.8487
284,Nicholas,Escobar,scottbrian@example.org,Professor,7,"Building B, Room 203",001-694-807-0164x510
