StudentID,BannerID,FirstName,LastName,Email,PhoneNumber,DateOfBirth,Gender,Classification,FirstGenerationStudent,InternationalStudent,CurrentAddress,PermanentAddress,HighSchoolGPA,AdmissionDate,RiskClassification
7562,A1007561,Jessica,Jenkins,jacksonwendy@example.net,+1-520-660-6371,1984-11-30,M,Freshman,True,False,"3010 Ochoa Crescent Suite 275, Michaeltown, KY 86517","0420 Nguyen Manors, Hawkinsmouth, MA 54085",3.83,2023-11-11,Low
418,A1000417,Courtney,Whitney,jenniferrobbins@example.net,+1-977-431-7394x624,1986-07-08,F,Freshman,True,False,"653 Michelle Shoals Suite 871, Jacquelinebury, KY 76064","9670 Smith Lakes, South Moniquemouth, NH 80130",2.55,2023-05-19,Low
2013,A1002012,Michael,Boyd,kristinmcgee@example.org,491.385.8467x8427,2001-05-12,M,Sophomore,True,False,"0753 Alejandro Trail, West Lisabury, SC 62236","33574 Rivera Valley, Conwaystad, GA 93296",3.13,2023-01-18,Low
2339,A1002338,Alexander,Yates,pauljames@example.org,445-722-4414,2004-03-30,F,Sophomore,True,False,"PSC 5153, Box 8657, APO AE 29027","766 Jenkins Valleys Apt. 594, Boydbury, CT 70917",2.96,2024-02-17,Low
6884,A1006883,Brandon,Hawkins,ericdillon@example.org,(362)485-2444x8264,2001-05-18,F,Sophomore,True,False,"Unit 3091 Box 0044, DPO AA 41525","972 Robbins Turnpike Apt. 094, Erinmouth, AZ 96110",3.56,2022-12-04,Low
7111,A1007110,Gloria,Stuart,ramosashley@example.net,409-523-5271,2003-02-25,M,Sophomore,True,False,"600 Joseph Ways Suite 951, Port Matthewchester, MO 71256","228 Murray Ridges Suite 448, Lake Lisa, PW 36053",2.78,2025-11-01,Low
2404,A1002403,Tyler,Stokes,isaac48@example.com,551-961-7148,1981-04-01,M,Freshman,False,False,"056 Nancy Drives, Nguyenmouth, WI 74507","65904 Edwards Pine, Gardnerstad, MD 20249",2.83,2023-06-15,Low
1274,A1001273,Dwayne,Wilkerson,amanda59@example.com,+1-478-980-8352x6273,1993-05-02,F,Junior,False,False,"Unit 0670 Box 6250, DPO AP 11054","926 Clinton Station Apt. 956, Port Nicholasshire, RI 31630",3.36,2023-08-13,Low
4940,A1004939,Colleen,Palmer,ericlucas@example.net,251.315.1606,2003-10-28,F,Freshman,True,True,"542 Nelson Glen Apt. 102, Parkermouth, MD 16668","94965 Lauren Mission, South Teresastad, WA 68223",2.14,2025-06-13,Low
2894,A1002893,Victor,Brooks,heidi41@example.com,(648)516-0418,1996-11-23,F,Senior,True,False,"617 Williams Island, Port Jasmine, MN 01562","12452 Cook Green, Lauratown, MP 44357",2.06,2024-07-22,Low
2937,A1002936,Keith,Lopez,ocalderon@example.org,+1-614-347-7708x03345,2000-05-13,F,Sophomore,False,False,"6132 Nicholas Extensions, Kelleystad, AZ 74423","1413 William Place Apt. 500, Gomezborough, KS 64544",2.32,2024-05-16,Low
8001,A1008000,Mark,Robertson,youngbetty@example.net,436.375.1167x874,1980-06-25,M,Senior,True,True,"071 Terrence Glen Suite 228, Terrellstad, IL 73494","6968 Tyler Springs, New Pennyhaven, VT 77754",2.46,2025-07-03,Low
4685,A1004684,Michelle,Russell,whitney87@example.com,001-534-372-9000x606,1993-06-22,F,Freshman,False,True,"7081 David Walk Suite 451, New Jeffreybury, OK 71640","187 Hernandez Way, Turnertown, MS 69451",3.25,2022-11-14,Low
376,A1000375,Linda,Hawkins,thomasmichael@example.com,220-458-0286x06048,2006-10-08,F,Sophomore,False,False,"USNS Baker, FPO AA 47505","7695 Jennifer Brooks Suite 189, Ryanview, IL 05124",2.23,2023-03-31,Low
8541,A1008540,Eric,Bryant,nwilliams@example.net,+1-974-291-7858x123,1981-03-22,M,Junior,False,False,"6805 Katherine Mountain Apt. 653, Pattersonville, NE 97490","08271 Williams Flat Suite 022, Lake Cassie, TX 48967",2.09,2025-07-01,Low
7484,A1007483,Nancy,Thompson,cooperelizabeth@example.net,(252)395-8564x617,1982-06-21,M,Freshman,True,False,"USCGC Rivera, FPO AA 85596","55054 Ryan Loaf, West Sheryl, CO 09424",2.02,2024-02-11,Low
8842,A1008841,Robert,Bates,susan67@example.com,+1-943-594-3028x15979,1989-02-07,M,Sophomore,True,False,"47415 Rodriguez Prairie Apt. 483, North Alexandra, NM 47957","621 Tonya Circles Apt. 655, Jaredstad, NM 70587",2.55,2023-11-07,Low
3018,A1003017,Jeremy,Mcconnell,keithhall@example.net,2123012845,1994-10-08,M,Sophomore,False,False,"209 Stacey Crossroad Suite 424, Mollyborough, NE 20352","115 David Parks, Parkerborough, IN 61715",2.52,2024-09-30,Low
9624,A1009623,Nicholas,Nguyen,stevenwilliams@example.net,001-225-658-3121,1987-08-26,F,Sophomore,False,False,"0231 David Roads Suite 143, West Jenniferville, AS 76087","4442 Mark Corner Suite 570, Walshburgh, NE 87847",3.44,2023-07-17,Low
8226,A1008225,Crystal,Washington,robertmartinez@example.com,884-718-3152,2001-09-17,F,Sophomore,True,False,"276 James Station Apt. 394, West Dana, MD 46628","16640 Mccarthy Grove Suite 130, New Judith, NV 58323",2.39,2025-04-09,Low
832,A1000831,Melissa,Cunningham,noblebrian@example.net,2452961974,2003-10-30,M,Sophomore,True,False,"8344 Burke Groves Apt. 104, North Erica, MH 39089","654 Marissa Plaza, Thompsonmouth, AZ 93049",2.17,2024-06-07,Low
9332,A1009331,Brandon,Freeman,casey69@example.com,214-211-0996,2000-07-24,M,Junior,False,False,"9595 Ashley Ranch Suite 300, Port Holly, DE 96131","07103 Alexandra Mission Suite 554, South Lisa, FM 57151",2.51,2023-03-19,Low
8333,A1008332,Linda,Garcia,tsmith@example.net,816.264.7509,2003-08-02,F,Junior,True,True,"USCGC Foster, FPO AA 91401","942 Martinez Mountains Suite 634, Port Gregoryton, AR 81712",3.42,2024-03-30,Low
8805,A1008804,Carlos,Rice,ronald34@example.com,804-728-4215,1989-06-06,M,Senior,True,False,"2184 Christine Pike, Tonyland, UT 94171","09924 Tamara Inlet, Donaldchester, NE 72010",3.81,2024-03-16,Low
8809,A1008808,Destiny,Haynes,geoffreykennedy@example.com,+1-581-403-6969,2000-01-20,M,Junior,False,False,"5074 Karla Village, Wagnerhaven, FM 80597","87822 Duke Causeway, Benjaminbury, MP 55984",3.88,2023-08-01,Low
7429,A1007428,Jason,Gomez,davischad@example.org,511-409-5537x39110,1998-11-15,M,Freshman,True,False,"12355 Burns Lock Apt. 757, Port Donna, NM 31528","01201 Terry Underpass Suite 450, East Sheila, NE 85683",3.44,2024-05-14,Low
6814,A1006813,Scott,Jones,raymondallen@example.org,001-403-530-8725x3671,2006-06-07,M,Junior,True,False,"69263 Dana Plain, Lisaport, CA 97673","0705 Michael Fort Apt. 153, West Michaelmouth, VT 69089",2.99,2024-10-07,Medium
5240,A1005239,Lisa,Daniels,russellsandoval@example.net,511-748-6032,1983-07-11,F,Senior,False,False,"PSC 6316, Box 6888, APO AP 39415","44570 Austin Villages, North Jamesbury, FL 09786",2.15,2023-11-26,Medium
9371,A1009370,James,Pacheco,bshepard@example.org,799.217.4317,1980-11-16,Prefer Not to Say,Junior,False,False,"195 Alyssa Islands Apt. 481, South Keithfort, NY 71871","8009 Wade Ranch, Lake Thomaston, OR 20003",3.2,2024-03-15,Medium
1038,A1001037,Rebecca,Stephens,jamesduncan@example.org,+1-784-909-9126x91764,1994-12-19,F,Freshman,False,False,"Unit 4273 Box 5984, DPO AE 89510","54720 Ryan Vista Suite 529, Stevensview, MH 62278",2.51,2023-04-27,Medium
5836,A1005835,Vanessa,Hernandez,jessica55@example.net,+1-865-391-6461x1864,1992-05-08,M,Sophomore,False,False,"69579 Raymond Shore Apt. 960, New Edward, MN 13703","PSC 9018, Box 0739, APO AE 19964",3.19,2023-06-06,Medium
3406,A1003405,Nina,Wilson,gmcdonald@example.com,(764)868-6830x76546,1990-06-14,F,Freshman,True,False,"PSC 6553, Box 8599, APO AP 38783","9894 Wright Streets, Colemanfurt, FM 03921",2.09,2023-03-02,Medium
8894,A1008893,Jeffrey,Garcia,xoconnor@example.net,468.757.3994x447,1985-04-23,M,Sophomore,False,False,"11266 Lopez Union Suite 235, New Jessemouth, MS 25592","50810 Ronald Bypass Apt. 998, Guerreroview, NE 79429",3.59,2025-06-22,Medium
7301,A1007300,Carlos,Mcguire,angela85@example.net,001-489-907-5412x5395,1987-09-07,F,Junior,False,False,"9132 Cooper Rest, South Danaside, RI 25628","553 Vargas Way Suite 319, Roberthaven, AR 75632",2.7,2024-07-22,Medium
2275,A1002274,Robert,Lindsey,christinacampbell@example.com,001-733-999-3492,2003-12-01,F,Junior,False,False,"40738 Miranda Shoal, New Staceymouth, WY 10210","4791 Holmes Ports, Johnsonfort, CA 77254",3.7,2024-02-18,Medium
3817,A1003816,John,Jones,tcalderon@example.org,761.634.0687x43452,1992-01-11,M,Sophomore,False,False,"807 Barker Summit Apt. 594, East Nathanberg, OR 18961","206 Rhonda Radial Apt. 381, Kristenshire, VI 79652",2.69,2023-04-14,Medium
6142,A1006141,Amanda,Vaughn,evillanueva@example.net,(496)307-7604,2001-08-14,F,Junior,False,False,"8833 Sheppard Course, South Austinbury, KS 66640","073 Kimberly Well Apt. 831, Holmesmouth, MD 69386",3.5,2024-10-18,Medium
8488,A1008487,Tina,Smith,russelladams@example.org,905.557.2110x274,2002-03-26,F,Freshman,False,False,"PSC 1983, Box 9369, APO AA 32468","65864 Baker Burg Apt. 938, New Richardview, NE 44211",3.5,2023-03-13,Medium
8996,A1008995,Sherri,Medina,owatkins@example.com,8212444007,1989-07-15,M,Sophomore,False,False,"384 Kelly Springs, Lake Wendy, CA 18688","407 Natalie Rest, West Elizabeth, VA 01622",3.78,2025-02-18,Medium
6467,A1006466,Deanna,Rodriguez,kgarcia@example.com,386-497-6626x900,1992-04-16,M,Freshman,True,False,"904 Morrison Highway, South Michael, MO 46817","0432 Colton Heights Suite 732, Brownton, KS 50024",3.99,2023-12-22,Medium
2029,A1002028,Jenny,Smith,wgomez@example.net,001-648-459-2313x870,1992-07-07,F,Sophomore,False,False,"PSC 5870, Box 9787, APO AE 89329","8914 Christine Stream, Farrellstad, CO 10329",2.49,2025-11-05,Medium
9776,A1009775,Tiffany,Higgins,rileyemily@example.com,001-516-436-4462x3044,1999-07-18,F,Freshman,False,False,"5988 Janice Drives Apt. 045, Taylorville, ND 81277","19542 Maurice View, West Davidtown, PW 75450",3.56,2025-04-03,Medium
8147,A1008146,Mary,Wright,shannonking@example.com,613.994.1233x59800,2005-01-24,M,Sophomore,False,False,"46578 Debra Cove Suite 441, East Edward, AR 17151","62411 Manuel Spur, Bryanberg, MT 45980",3.91,2024-03-23,Medium
1475,A1001474,Heather,Blake,gerald05@example.com,668-933-1421,1985-11-28,F,Freshman,False,False,"27055 Ramirez Extension, Doughertyland, MH 23218","58920 Lynch Bridge, Deborahfurt, GU 89168",3.38,2024-09-13,Medium
1699,A1001698,Nichole,Bradford,john83@example.net,+1-984-529-3631x7619,1980-03-16,M,Sophomore,False,False,"10949 Elizabeth Loop, Morrisonside, MA 66609","907 Wilson Inlet Apt. 421, South Jenniferborough, KY 87251",3.42,2023-02-05,Medium
9534,A1009533,Daniel,Jones,christina70@example.net,7842291647,2007-05-25,F,Freshman,True,False,"31333 Young Courts Suite 742, West Jamie, MS 38449","273 Payne Mountains Suite 692, East Coreychester, FL 23607",3.61,2025-01-04,Medium
3083,A1003082,Barbara,Marquez,rebecca03@example.org,+1-893-380-3075x8294,1997-10-10,F,Junior,True,False,"71468 Long Hollow Apt. 249, Micheleland, RI 18476","93772 Coleman Ferry, Williammouth, WA 72806",2.78,2024-01-31,Medium
8911,A1008910,Rebecca,Gibbs,hhopkins@example.com,237.883.2185,1997-10-04,F,Sophomore,True,False,"8313 Jacob Mountain, North Jaime, WA 82331","790 Bryant Brooks, Torresshire, TX 92814",2.42,2023-11-20,Medium
5271,A1005270,Taylor,Sullivan,freemanalyssa@example.net,841.212.5770x620,1997-01-30,F,Senior,False,False,"60487 Laura Via Suite 001, Larrybury, WA 43204","3851 Jacobson Square Suite 208, Lindsayland, MO 04010",2.88,2023-04-13,Medium
5186,A1005185,Stephanie,Bruce,jennifer35@example.com,646-817-6398x192,2000-05-09,M,Junior,True,False,"24269 Clark Path Apt. 239, North Kendra, OH 23874","103 James Village Apt. 628, North Brianville, SC 37652",2.72,2023-03-08,Medium
9241,A1009240,Tina,Arnold,schneidersara@example.net,(290)850-4660x4383,1980-12-23,F,Freshman,True,False,"32397 Boyd Spurs Suite 311, North Kristina, MT 16677","38556 Hawkins Cliffs, Port Kristen, MD 03201",3.79,2025-04-15,Medium
7349,A1007348,Kristin,Butler,cadkins@example.org,001-265-490-1953x366,1993-10-08,Prefer Not to Say,Freshman,True,False,"3720 Nathaniel Oval Apt. 758, Davisshire, MA 60168","USS Martinez, FPO AE 83448",2.19,2022-12-30,Medium
2636,A1002635,Dominic,Harris,christina36@example.com,+1-628-458-6957x2529,2004-06-07,M,Freshman,True,False,"8182 Christopher Shoal, North Courtney, PW 46667","88203 Rose Expressway Apt. 816, North Douglas, OR 03087",2.88,2025-01-24,Medium
3129,A1003128,Robert,Smith,ofox@example.org,649-259-3284x08993,1999-05-30,M,Junior,True,False,"PSC 1765, Box 2451, APO AP 57032","693 Bradley Light, Port Janet, CO 23968",3.56,2024-03-06,Medium
8271,A1008270,Adrienne,Soto,tracy36@example.org,001-401-451-2505x2945,1993-08-16,F,Senior,False,False,"701 Jacqueline Island Apt. 169, Rebeccamouth, SC 76624","82924 Hawkins Harbor Apt. 964, South Bethland, FL 11794",3.33,2023-12-29,Medium
3873,A1003872,Robert,Collins,harveybrian@example.net,001-559-576-2617,1993-12-30,F,Sophomore,True,False,"USS Clements, FPO AP 93973","134 Boyd Fall Apt. 487, South Dakotachester, IL 36792",3.5,2023-01-21,Medium
9536,A1009535,Kirsten,Jackson,afarley@example.com,407.216.8252x025,2006-10-05,F,Freshman,False,True,"49221 Brown Harbors, East Bonnie, WV 68076","59718 Lee Extensions, New Johnport, AR 66804",3.1,2024-11-26,Medium
3362,A1003361,Juan,Mcconnell,amanda66@example.org,+1-763-863-0856x0544,1981-12-24,M,Junior,True,False,"875 Mariah Court Suite 916, Mclaughlinbury, GA 14033","489 Williams Inlet Suite 589, North Brandyborough, UT 01628",2.83,2024-03-23,Medium
575,A1000574,Sheila,Logan,aallen@example.com,001-776-645-5459x03481,1986-09-20,M,Senior,True,True,"02693 Watson Freeway, New Christineberg, ID 91091","51485 Francis Burgs, Johnsonfurt, KS 02776",3.98,2024-09-07,Medium
3679,A1003678,Peter,Haley,suzanne39@example.net,733.809.9907,2001-11-30,F,Freshman,False,False,"Unit 6879 Box 0992, DPO AP 53517","46548 Carlson Rapid, South Timothyville, AZ 04437",2.31,2024-08-18,Medium
3625,A1003624,William,Chavez,triciamarks@example.org,677-566-0409x17080,1991-03-07,F,Freshman,True,False,"1562 Howard Mountains, North Nicolas, AZ 58685","401 Hobbs Turnpike, Johnnyport, NM 75912",3.86,2025-02-27,Medium
4397,A1004396,Katelyn,Gonzales,matthewcompton@example.net,9069948934,2004-05-12,F,Freshman,True,False,"9208 Willis Lakes, Raymondburgh, PW 48918","0728 Ross Coves Apt. 647, Port Lynn, PR 06298",2.3,2024-03-14,Medium
6624,A1006623,Amy,Roman,christian81@example.com,(325)398-4005x3628,1990-08-08,F,Senior,False,True,"49700 Eugene Camp, Evansberg, DC 39954","91304 Carr Falls, Monicafort, MS 59844",3.09,2024-07-06,Medium
4510,A1004509,Ryan,Parsons,foxamy@example.net,(265)405-3624x28055,1985-03-12,F,Freshman,False,False,"6435 Alyssa Springs Apt. 135, Leonardport, NH 64024","94284 Shelton Rapid Suite 631, Kellymouth, DE 33942",2.06,2023-08-31,Low
4868,A1004867,Jacob,Lynch,kelly35@example.org,9803945184,1997-07-25,M,Senior,True,False,"827 Ryan Rapid Suite 156, Tuckerview, WY 73499","94409 George Glen Apt. 679, North Tina, MD 54178",2.06,2025-02-04,Low
